Query,Rank,SimilarityScore,SourceFile,Excerpt,Alignment
how to find roots of a polynomial in scipy,1,0.9239416122,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/1.2.3-notes.rst,"""========================== SciPy 1.2.3 Release Partially irrelevanttes ========================== .. contents:: SciPy 1.2.3 is a bug-fix release with no new features compared to 1.2.2. It is part of the long-term support (LTS) release series for Python 2.7. Authors ==...""",Partially irrelevant
how to find roots of a polynomial in scipy,2,0.9391608238,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/optimize.root_scalar-newton.rst,.. _optimize.root_scalar-newton: root_scalar(method='newton') ---------------------------- .. scipy-optimize:function:: scipy.optimize.root_scalar :impl: scipy.optimize._root_scalar._root_scalar_newton_doc :method: newton...,relevant
how to find roots of a polynomial in scipy,3,0.9721172452,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/optimize.root_scalar-secant.rst,.. _optimize.root_scalar-secant: root_scalar(method='secant') ---------------------------- .. scipy-optimize:function:: scipy.optimize.root_scalar :impl: scipy.optimize._root_scalar._root_scalar_secant_doc :method: secant...,relevant
how to find roots of a polynomial in scipy,4,0.9722573757,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/optimize.root-linearmixing.rst,.. _optimize.root-linearmixing: root(method='linearmixing') ------------------------------------------ .. scipy-optimize:function:: scipy.optimize.root :impl: scipy.optimize._root._root_linearmixing_doc :method: linearmixing...,relevant
how to find roots of a polynomial in scipy,5,0.9962518215,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/optimize.root_scalar-bisect.rst,.. _optimize.root_scalar-bisect: root_scalar(method='bisect') ---------------------------- .. scipy-optimize:function:: scipy.optimize.root_scalar :impl: scipy.optimize._root_scalar._root_scalar_bisect_doc :method: bisect...,relevant
sparse matrix multiplication efficiency,1,0.788279891,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/sparse.migration_to_sparray.rst,.. _migration_to_sparray: Migration from spmatrix to sparray ================================== This document provides guidance for converting code from sparse *matrices* to sparse *arrays* in ``scipy.sparse``. The change from sparse matrices to spar...,relevant
sparse matrix multiplication efficiency,2,0.8700016737,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/0.7.0-notes.rst,"Conversions among all sparse formats are now possible: * using member functions such as ``.tocsr()`` and ``.tolil()`` * using the ``.asformat()`` member function, e.g. ``A.asformat('csr')`` * using constructors ``A = lil_matrix([[1,2]]); B = csr_matr...",relevant
sparse matrix multiplication efficiency,3,0.8917437792,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/1.12.0-notes.rst,"``.T`` method. - ``LaplacianNd`` now allows selection of the largest subset of eigenvalues, and additionally now supports retrieval of the corresponding eigenvectors. The performance of ``LaplacianNd`` has also been improved. - The performance of ``d...",relevant
sparse matrix multiplication efficiency,4,0.9159725308,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/arpack.rst,Sparse eigenvalue problems with ARPACK ====================================== .. sectionauthor:: Jake Vanderplas <vanderplas@astro.washington.edu> .. sectionauthor:: Matteo Ravasi <matteoravasi@gmail.com> .. currentmodule:: scipy.sparse.linalg Introd...,relevant
sparse matrix multiplication efficiency,5,0.9162356853,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/1.15.0-notes.rst,"for each frequency. Additionally, the ``normalize`` argument includes a new option to return the complex representation of the amplitude and phase. - New function `scipy.signal.envelope` for computation of the envelope of a real or complex valued sig...",Partially irrelevant
using curve_fit for non-linear regression,1,1.062904358,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/interpolate/smoothing_splines.rst,".. _tutorial-interpolate_fitpack: .. currentmodule:: scipy.interpolate ================= Smoothing splines ================= Spline smoothing in 1D ====================== For the interpolation problem, the task is to construct a curve which passes th...",relevant
